Event,Date,Time,Venue,City,State,Genre,Sub-Genre,Segment,Performer,Min Price,Max Price,Sales Status,On-Sale Date,Promoter,Ticket URL
Los Angeles Dodgers vs. Colorado Rockies,2025-04-14,19:10:00,Dodger Stadium,Los Angeles,California,Baseball,MLB,Sports,Los Angeles Dodgers,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7u-o4
Ottawa Senators vs. Chicago Blackhawks,2025-04-15,19:00:00,Canadian Tire Centre,Kanata,Ontario,Hockey,NHL,Sports,Ottawa Senators,46.9,285.9,onsale,2024-11-13T14:00:00Z,NHL REGULAR SEASON,https://www.ticketmaster.ca/ottawa-senators-vs-chicago-blackhawks-kanata-ontario-04-15-2025/event/31006107F9F05124
New York Yankees v. Kansas City Royals * Premium Seating *,2025-04-15,19:05:00,Yankee Stadium,Bronx,New York,Baseball,MLB,Sports,New York Yankees,400.0,1775.0,onsale,2024-09-13T14:00:00Z,MLB REGULAR SEASON,https://www.ticketmaster.com/new-york-yankees-v-kansas-city-bronx-new-york-04-15-2025/event/1D00611CCCEA59D0
Hamilton (NY),2025-04-15,19:00:00,Richard Rodgers Theatre,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,2024-08-01T14:00:00Z,NEDERLANDER PRODUCTIONS,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-04-15-2025/event/Z1r9uZrrZbpZ1Ave_oV
Harry Potter and the Cursed Child,2025-04-15,19:00:00,Lyric Theatre - NY,New York,New York,Performance Art,Performance Art,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7C6x8
Hamilton (Touring),2025-04-15,19:30:00,Saenger Theatre-New Orleans,New Orleans,Louisiana,Theatre,Musical,Arts & Theatre,Hamilton (Touring),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7kpOv
Hamilton,2025-04-15,19:00:00,Richard Rodgers Theatre-NY,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7ok0g
Los Angeles Dodgers vs. Colorado Rockies,2025-04-15,19:10:00,Dodger Stadium,Los Angeles,California,Baseball,MLB,Sports,Los Angeles Dodgers,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7u-op
V-U2 An Immersive Concert Film at Sphere Las Vegas,2025-04-16,19:00:00,Sphere,Las Vegas,Nevada,Spectacular,Spectacular,Arts & Theatre,V-U2 An Immersive Concert Film at Sphere Las Vegas,78.0,173.0,onsale,2024-12-10T18:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/vu2-an-immersive-concert-film-at-las-vegas-nevada-04-16-2025/event/170061841143448D
Harry Potter and the Cursed Child - Parts 1 & 2 Wed 14:00 & 19:00,2025-04-16,14:00:00,Palace Theatre,London,Unknown,Theatre,Drama,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,2024-08-29T10:00:00Z,Not Listed,https://theatre.ticketmaster.co.uk/book/17YYA-harry-potter-and-the-cursed-child/#perf=17YYA-64W&date=2025-04-16&time=2.00PM
