Event,Date,Time,Venue,City,State,Genre,Sub-Genre,Segment,Performer,Min Price,Max Price,Sales Status,On-Sale Date,Promoter,Ticket URL
Hamilton (NY),2025-04-22,19:00:00,Richard Rodgers Theatre,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,2024-08-01T14:00:00Z,NEDERLANDER PRODUCTIONS,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-04-22-2025/event/Z1r9uZrrZbpZ1Ave_oM
Harry Potter and the Cursed Child,2025-04-22,19:00:00,Lyric Theatre - NY,New York,New York,Performance Art,Performance Art,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7C6xb
Hamilton,2025-04-22,19:00:00,Richard Rodgers Theatre-NY,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7okPd
Chicago Cubs vs. Los Angeles Dodgers,2025-04-22,18:40:00,Wrigley Field,Chicago,Illinois,Baseball,MLB,Sports,Chicago Cubs,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7uO47
Cleveland Guardians vs. New York Yankees,2025-04-22,18:10:00,Progressive Field,Cleveland,Ohio,Baseball,MLB,Sports,Cleveland Guardians,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7uOqa
Harry Potter and the Cursed Child - Parts 1 & 2 Wed 14:00 & 19:00,2025-04-23,14:00:00,Palace Theatre,London,Unknown,Theatre,Drama,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,2024-08-29T10:00:00Z,Not Listed,https://theatre.ticketmaster.co.uk/book/17YYA-harry-potter-and-the-cursed-child/#perf=17YYA-654&date=2025-04-23&time=2.00PM
V-U2 An Immersive Concert Film at Sphere Las Vegas,2025-04-23,19:00:00,Sphere,Las Vegas,Nevada,Spectacular,Spectacular,Arts & Theatre,V-U2 An Immersive Concert Film at Sphere Las Vegas,78.0,173.0,onsale,2024-12-10T18:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/vu2-an-immersive-concert-film-at-las-vegas-nevada-04-23-2025/event/17006184114544A5
Hamilton (Touring),2025-04-23,19:30:00,Soldiers and Sailors Memorial Auditorium,Chattanooga,Tennessee,Theatre,Musical,Arts & Theatre,Hamilton (Touring),65.0,169.0,onsale,2024-12-09T15:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/hamilton-touring-chattanooga-tennessee-04-23-2025/event/1B0061599B8F7F36
Hamilton (NY),2025-04-23,13:00:00,Richard Rodgers Theatre,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,2024-08-01T14:00:00Z,NEDERLANDER PRODUCTIONS,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-04-23-2025/event/Z1r9uZrrZbpZ1Ave_fA
Hamilton (NY),2025-04-23,19:00:00,Richard Rodgers Theatre,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,2024-08-01T14:00:00Z,NEDERLANDER PRODUCTIONS,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-04-23-2025/event/Z1r9uZrrZbpZ1Ave_oz
